brooklyn,freq
11,10669
14,57312
17,108504
21,25070
22,30084
25,67615
26,48622
29,18120
33,65973
34,10120
35,49729
36,99092
37,125755
39,71509
40,33092
49,86466
52,16876
54,9457
55,22403
61,172775
62,45103
63,24788
65,59434
66,48579
67,16727
71,42606
72,54012
76,80923
77,24247
80,104167
85,28044
89,82914
91,52127
97,79138
106,28693
108,13782
111,989
112,117428
123,29722
133,20504
149,23916
150,15320
154,2277
155,30217
165,32770
177,42442
178,12392
181,136980
188,78944
189,45893
190,11497
195,26475
210,29803
217,16507
222,10551
225,103782
227,20393
228,43996
255,155434
256,114689
257,21483
