manhattan,freq
4,58357
12,4642
13,82225
24,21594
41,72952
42,82491
43,57286
45,33778
48,185590
50,76466
68,150352
74,73139
75,66050
79,219352
87,94105
88,30358
90,114762
100,95896
103,0
104,0
105,3
107,137518
113,97991
114,99633
116,46333
120,4037
125,55542
127,31445
128,3141
137,95049
140,93200
141,101333
142,110350
143,78336
144,125564
148,161554
151,49958
152,26548
153,5393
158,99929
161,207988
162,131172
163,115903
164,143562
166,55253
170,148318
186,84354
194,2041
202,6160
209,26739
211,87116
224,43878
229,110320
230,141259
231,172368
232,64283
233,103630
234,191146
236,112551
237,134185
238,99477
239,109085
243,55382
244,71256
246,157758
249,137709
261,47690
262,71572
263,83508
