queens,freq
2,30
7,108179
8,1033
9,7934
10,22317
15,8212
16,20472
19,5206
27,940
28,17287
30,290
38,6619
53,10344
56,29050
57,1597
64,5501
70,24599
73,8864
82,62309
83,17578
86,4801
92,41654
93,7471
95,56625
96,2025
98,8954
101,4653
102,21296
117,5479
121,15759
122,7059
124,9652
129,82730
130,46122
131,12239
132,173577
134,18492
135,15865
138,168615
139,10526
145,71623
146,25523
157,24589
160,20452
171,17712
173,22490
175,7028
179,35407
180,11694
191,16486
192,10815
193,10534
196,21807
197,28476
198,61979
201,3432
203,9883
205,25103
207,155
215,19711
216,37399
218,13156
219,11858
223,64427
226,62818
252,12865
253,2440
258,23200
260,39533
