PULocationID,DOLocationID,Freq,jojo,koko
76,76,31707,Brooklyn,Brooklyn
61,61,29128,Brooklyn,Brooklyn
39,39,23904,Brooklyn,Brooklyn
26,26,23605,Brooklyn,Brooklyn
129,129,20661,Queens,Queens
7,7,20523,Queens,Queens
14,14,19144,Brooklyn,Brooklyn
181,181,18261,Brooklyn,Brooklyn
92,92,15320,Queens,Queens
82,82,14578,Queens,Queens
36,37,14295,Brooklyn,Brooklyn
37,37,14250,Brooklyn,Brooklyn
112,255,14057,Brooklyn,Brooklyn
37,36,13450,Brooklyn,Brooklyn
7,223,13432,Queens,Queens
255,112,13044,Brooklyn,Brooklyn
223,7,13018,Queens,Queens
225,61,12985,Brooklyn,Brooklyn
61,225,12918,Brooklyn,Brooklyn
89,89,12759,Brooklyn,Brooklyn
61,188,12578,Brooklyn,Brooklyn
188,61,12512,Brooklyn,Brooklyn
95,95,12400,Queens,Queens
223,223,12296,Queens,Queens
17,61,11448,Brooklyn,Brooklyn
61,17,11417,Brooklyn,Brooklyn
42,42,11011,Manhattan,Manhattan
129,82,10833,Queens,Queens
255,80,10659,Brooklyn,Brooklyn
225,225,10614,Brooklyn,Brooklyn
80,255,10499,Brooklyn,Brooklyn
256,255,10329,Brooklyn,Brooklyn
234,79,10201,Manhattan,Manhattan
161,138,10142,Manhattan,Queens
112,112,10092,Brooklyn,Brooklyn
255,256,10055,Brooklyn,Brooklyn
39,76,10004,Brooklyn,Brooklyn
42,41,9955,Manhattan,Manhattan
230,138,9942,Manhattan,Queens
82,129,9737,Queens,Queens
36,36,9736,Brooklyn,Brooklyn
237,236,9599,Manhattan,Manhattan
234,68,9596,Manhattan,Manhattan
216,216,9552,Queens,Queens
79,234,9402,Manhattan,Manhattan
225,17,9395,Brooklyn,Brooklyn
41,42,9392,Manhattan,Manhattan
234,161,9276,Manhattan,Manhattan
79,148,9267,Manhattan,Manhattan
188,188,9245,Brooklyn,Brooklyn
