queens,freq
2,1
7,54702
8,23
9,30
10,111
15,22
16,170
19,46
27,0
28,589
30,0
38,14
53,177
56,1723
57,119
64,16
70,1162
73,88
82,44148
83,6204
86,8
92,7933
93,261
95,25135
96,34
98,31
101,19
102,181
117,23
121,758
122,100
124,33
129,30320
130,12905
131,152
132,152
134,8357
135,311
138,145
139,11
145,16409
146,5512
157,577
160,201
171,126
173,3783
175,17
179,6206
180,65
191,101
192,390
193,2696
196,9571
197,711
198,608
201,3
203,30
205,67
207,246
215,189
216,645
218,52
219,41
223,20826
226,13527
252,76
253,12
258,250
260,23468
