manhattan,freq
4,0
12,1
13,9
24,3051
41,58621
42,37467
43,9453
45,1
48,56
50,8
68,11
74,59080
75,52372
79,22
87,6
88,1
90,15
100,14
103,0
104,0
105,0
107,23
113,15
114,17
116,16453
120,173
125,6
127,4041
128,179
137,15
140,25
141,31
142,30
143,6
144,10
148,7
151,7
152,9164
153,565
158,15
161,52
162,40
163,31
164,31
166,43286
170,28
186,23
194,22
202,92
209,5
211,13
224,2
229,44
230,55
231,20
232,1
233,10
234,34
236,2220
237,40
238,16
239,38
243,6625
244,24702
246,13
249,25
261,10
262,56
263,567
