PULocationID,DOLocationID,Freq,jojo,koko
7,7,17522,Queens,Queens
41,42,11871,Manhattan,Manhattan
75,74,11401,Manhattan,Manhattan
181,181,10902,Brooklyn,Brooklyn
129,129,10103,Queens,Queens
95,95,9744,Queens,Queens
42,42,9687,Manhattan,Manhattan
255,112,9393,Brooklyn,Brooklyn
82,129,9146,Queens,Queens
41,74,8839,Manhattan,Manhattan
41,41,8806,Manhattan,Manhattan
74,75,8632,Manhattan,Manhattan
223,223,8183,Queens,Queens
74,74,8116,Manhattan,Manhattan
82,82,7853,Queens,Queens
7,223,7668,Queens,Queens
74,41,7533,Manhattan,Manhattan
42,41,6874,Manhattan,Manhattan
7,179,6667,Queens,Queens
75,75,6639,Manhattan,Manhattan
74,42,6121,Manhattan,Manhattan
166,166,5633,Manhattan,Manhattan
255,256,5182,Brooklyn,Brooklyn
97,97,4797,Brooklyn,Brooklyn
145,145,4666,Queens,Queens
41,166,4347,Manhattan,Manhattan
75,41,4171,Manhattan,Manhattan
244,244,4143,Manhattan,Manhattan
97,49,4134,Brooklyn,Brooklyn
42,74,4079,Manhattan,Manhattan
25,181,4048,Brooklyn,Brooklyn
223,7,3986,Queens,Queens
61,61,3959,Brooklyn,Brooklyn
82,56,3957,Queens,Queens
75,236,3919,Manhattan,Manhattan
255,255,3770,Brooklyn,Brooklyn
41,75,3721,Manhattan,Manhattan
166,41,3673,Manhattan,Manhattan
7,226,3559,Queens,Queens
74,166,3489,Manhattan,Manhattan
129,82,3311,Queens,Queens
166,74,3158,Manhattan,Manhattan
7,129,3133,Queens,Queens
166,238,3102,Manhattan,Manhattan
260,226,3032,Queens,Queens
260,260,3002,Queens,Queens
75,263,2978,Manhattan,Manhattan
74,236,2947,Manhattan,Manhattan
260,129,2919,Queens,Queens
82,173,2906,Queens,Queens
