brooklyn,freq
11,42
14,847
17,13423
21,75
22,107
25,27461
26,221
29,257
33,27002
34,722
35,795
36,5773
37,4963
39,282
40,8819
49,17900
52,10881
54,609
55,1499
61,14348
62,1856
63,179
65,20750
66,23591
67,42
71,399
72,360
76,1057
77,235
80,11335
85,973
89,2042
91,351
97,34350
106,4453
108,87
111,60
112,18004
123,128
133,314
149,196
150,62
154,30
155,99
165,146
177,1339
178,56
181,36871
188,3808
189,5804
190,1955
195,1232
210,3317
217,1010
222,52
225,5009
227,203
228,2224
255,46064
256,21411
257,565
