Datas_of_area_pull_yellow_10,Freq
1,684
2,11
3,21
4,22594
6,52
7,15974
8,95
9,24
10,2841
11,69
12,4446
13,90752
14,373
15,23
16,50
17,2036
18,78
19,79
20,64
21,68
22,130
23,8
24,27740
25,10185
26,240
27,1
28,623
29,60
30,3
31,108
32,38
33,10585
34,299
35,95
36,1073
37,2152
38,30
39,121
40,5458
41,31069
42,13042
43,137832
44,3
45,22681
46,5
47,64
48,300713
49,3077
50,98077
51,50
52,5549
53,67
54,493
55,38
56,310
57,30
58,5
59,2
60,60
61,1671
62,357
63,88
64,49
65,13696
66,4788
67,88
68,233837
69,324
70,1287
71,88
72,78
73,19
74,31845
75,60803
76,293
77,47
78,66
79,273913
80,4409
81,33
82,2470
83,1062
84,5
85,168
86,13
87,77112
88,39302
89,748
90,184485
91,137
92,425
93,1134
94,52
95,1239
96,17
97,8864
98,44
99,4
100,200381
101,44
102,78
105,17
106,1679
107,230608
108,37
111,22
112,4524
113,162785
114,137465
115,7
116,9737
117,23
118,7
119,383
120,40
121,78
122,21
123,105
124,111
125,57384
126,104
127,790
128,61
129,5078
130,870
131,72
132,239038
133,409
134,491
135,165
136,93
137,116913
138,287072
139,24
140,161538
141,218603
142,298453
143,106284
144,107618
145,11287
146,9706
147,77
148,142769
149,53
150,44
151,81599
152,8427
153,85
154,23
155,86
156,7
157,430
158,109486
159,374
160,130
161,376035
162,334840
163,266800
164,235461
165,125
166,48504
167,156
168,1692
169,141
170,310600
171,56
172,5
173,261
174,74
175,37
176,2
177,159
178,124
179,5571
180,90
181,10771
182,70
183,17
184,6
185,44
186,342831
187,3
188,1017
189,2367
190,418
191,67
192,97
193,4472
194,605
195,737
196,650
197,287
198,278
200,67
201,3
202,479
203,38
204,3
205,57
206,6
207,560
208,82
209,19862
210,66
211,80575
212,111
213,131
214,2
215,776
216,754
217,716
218,113
219,657
220,172
221,3
222,30
223,5110
224,25260
225,803
226,15218
227,103
228,1156
229,179709
230,326437
231,176486
232,18079
233,125489
234,318759
235,141
236,361197
237,405085
238,181549
239,244202
240,24
241,78
242,70
243,1712
244,8206
245,1
246,138911
247,1413
248,73
249,200253
250,68
251,4
252,62
253,13
254,76
255,10598
256,8573
257,304
258,78
259,37
260,5537
261,60145
262,115460
263,169581
264,135888
265,4829
