Datas_of_area_pull_fhv_11,Freq
0,497
1,2746
2,14
3,19432
4,68604
5,2124
6,3783
7,135094
8,718
9,11009
10,27869
11,13576
12,3764
13,92124
14,68601
15,9372
16,27818
17,126221
18,46026
19,7356
20,32515
21,34405
22,41712
23,11307
24,26805
25,81707
26,64752
27,302
28,23106
29,24834
30,311
31,5590
32,22755
33,73948
34,12731
35,66876
36,111613
37,147635
38,8812
39,96548
40,39388
41,94751
42,112380
43,64186
44,2806
45,42745
46,1438
47,32161
48,228656
49,109286
50,89715
51,35685
52,20238
53,15817
54,10619
55,23902
56,34803
57,1740
58,2408
59,1501
60,20197
61,218020
62,60605
63,33956
64,8129
65,74122
66,60155
67,21032
68,185426
69,56490
70,29970
71,56123
72,71450
73,13807
74,93279
75,87535
76,117886
77,33452
78,36295
79,270398
80,118553
81,31495
82,86838
83,23122
84,3842
85,38654
86,9601
87,114415
88,37497
89,117439
90,133272
91,66348
92,76705
93,6088
94,18719
95,69549
96,2327
97,104969
98,13243
99,442
100,129953
101,8725
102,23006
105,1
106,34796
107,171669
108,17478
109,5135
110,40
111,1136
112,122483
113,132549
114,129053
115,5686
116,61532
117,7695
118,8744
119,34056
120,5199
121,30536
122,10015
123,39706
124,12418
125,66281
126,24508
127,41278
128,3254
129,94670
130,62041
131,18419
132,228855
133,26920
134,22919
135,24576
136,28956
137,115980
138,224003
139,13661
140,117773
141,125946
142,140316
143,101582
144,152929
145,85161
146,32163
147,22307
148,190363
149,32572
150,19859
151,61031
152,36108
153,7624
154,1562
155,39899
156,8926
157,29024
158,108365
159,39607
160,24989
161,262146
162,166026
163,145682
164,186825
165,43776
166,89422
167,37204
168,46577
169,48192
170,179406
171,24655
172,4288
173,28306
174,37492
175,11612
176,2475
177,55005
178,16608
179,43665
180,15826
181,162002
182,23653
183,9984
184,2194
185,28586
186,110583
187,5943
188,103779
189,56863
190,12053
191,22537
192,17095
193,13511
194,1057
195,27376
196,28992
197,37156
198,70610
199,7
200,23359
201,3130
202,7720
203,14267
204,1770
205,32474
206,20208
207,200
208,25837
209,33123
210,41345
211,107260
212,21829
213,42044
214,6063
215,25662
216,50079
217,19962
218,17368
219,15756
220,39817
221,11427
222,14376
223,68622
224,50188
225,129110
226,77967
227,28315
228,57704
229,132101
230,183649
231,206723
232,77995
233,117342
234,237307
235,48491
236,144594
237,173574
238,121371
239,132733
240,9132
241,41561
242,36492
243,71590
244,97705
245,8380
246,183806
247,48678
248,21382
249,169083
250,20568
251,6224
252,15743
253,658
254,43807
255,161840
256,123864
257,24499
258,30673
259,29339
260,47835
261,60202
262,87073
263,103960
264,321
265,16083
