Datas_of_area_pull_green_12,Freq
1,16
2,1
3,397
6,3
7,48135
8,12
9,147
10,395
11,293
13,5
14,1399
15,70
16,174
17,8412
18,1044
19,114
20,784
21,461
22,563
23,8
24,2907
25,22911
26,1096
27,1
28,697
29,562
30,1
31,474
32,437
33,23654
34,449
35,1591
36,3139
37,2682
38,76
39,1223
40,6765
41,50784
42,30013
43,8779
45,1
46,6
47,808
48,13
49,12263
50,3
51,744
52,8608
53,168
54,381
55,1689
56,1836
57,105
58,18
59,17
60,411
61,9226
62,1624
63,317
64,54
65,22675
66,15751
67,384
68,9
69,2473
70,896
71,1064
72,1037
73,132
74,55593
75,49403
76,2362
77,591
78,966
79,4
80,6835
81,375
82,45463
83,5702
84,2
85,893
86,39
87,1
89,2378
90,6
91,1271
92,7125
93,274
94,497
95,24196
96,43
97,28986
98,94
99,1
100,17
101,48
102,299
106,2735
107,4
108,476
109,2
111,40
112,11130
113,2
114,3
115,4
116,13820
117,117
118,6
119,775
120,84
121,982
122,149
123,771
124,117
126,664
127,2800
128,132
129,26459
130,12717
131,354
132,157
133,611
134,7490
135,504
136,817
137,4
138,146
139,111
140,5
141,1
142,11
143,2
144,4
145,11558
146,3957
147,481
148,3
149,805
150,260
151,4
152,6903
153,377
154,27
155,774
156,9
157,563
158,1
159,2692
160,299
161,13
162,12
163,15
164,14
165,858
166,36721
167,1029
168,2555
169,1050
170,11
171,255
172,2
173,2826
174,1457
175,100
177,1487
178,231
179,6553
180,169
181,28589
182,1701
183,234
184,72
185,771
186,11
187,6
188,3243
189,3368
190,641
191,346
192,436
193,2418
194,18
195,951
196,9611
197,706
198,454
200,189
201,13
202,88
203,85
205,381
206,26
207,110
208,465
209,1
210,3347
211,1
212,1747
213,1070
214,5
215,467
216,663
217,680
218,237
219,96
220,997
221,20
222,389
223,18980
225,3363
226,10132
227,464
228,1994
229,4
230,22
231,3
232,3
233,2
234,4
235,957
236,2292
237,7
238,5
239,3
240,54
241,734
242,2088
243,5278
244,22118
245,10
246,2
247,3658
248,548
249,7
250,835
251,4
252,60
253,13
254,703
255,28391
256,10276
257,573
258,384
259,203
260,20496
261,1
262,24
263,528
264,1019
265,217
