PULocationID,DOLocationID,Freq,jojo,koko
237,236,56242,Manhattan,Manhattan
236,236,50058,Manhattan,Manhattan
236,237,47884,Manhattan,Manhattan
237,237,41965,Manhattan,Manhattan
239,238,29124,Manhattan,Manhattan
239,142,27490,Manhattan,Manhattan
142,239,25428,Manhattan,Manhattan
238,239,24330,Manhattan,Manhattan
237,162,23820,Manhattan,Manhattan
186,230,22992,Manhattan,Manhattan
79,79,22960,Manhattan,Manhattan
141,236,22874,Manhattan,Manhattan
230,186,22767,Manhattan,Manhattan
186,161,22474,Manhattan,Manhattan
161,237,20803,Manhattan,Manhattan
239,239,20695,Manhattan,Manhattan
234,170,20576,Manhattan,Manhattan
237,161,20540,Manhattan,Manhattan
48,48,20300,Manhattan,Manhattan
263,236,20171,Manhattan,Manhattan
107,170,20104,Manhattan,Manhattan
237,141,19939,Manhattan,Manhattan
186,170,19169,Manhattan,Manhattan
141,237,19111,Manhattan,Manhattan
236,141,18885,Manhattan,Manhattan
236,239,18676,Manhattan,Manhattan
142,238,18529,Manhattan,Manhattan
161,161,18277,Manhattan,Manhattan
186,234,18204,Manhattan,Manhattan
236,262,17953,Manhattan,Manhattan
262,236,17767,Manhattan,Manhattan
162,170,17427,Manhattan,Manhattan
239,236,17344,Manhattan,Manhattan
236,263,17261,Manhattan,Manhattan
79,107,17123,Manhattan,Manhattan
170,234,17092,Manhattan,Manhattan
48,68,16900,Manhattan,Manhattan
237,140,16767,Manhattan,Manhattan
263,141,16680,Manhattan,Manhattan
141,141,16623,Manhattan,Manhattan
236,238,16366,Manhattan,Manhattan
161,186,16192,Manhattan,Manhattan
238,142,16134,Manhattan,Manhattan
238,236,16076,Manhattan,Manhattan
237,142,15986,Manhattan,Manhattan
234,186,15907,Manhattan,Manhattan
230,161,15852,Manhattan,Manhattan
100,161,15723,Manhattan,Manhattan
161,236,15658,Manhattan,Manhattan
142,237,15604,Manhattan,Manhattan
