queens,freq
2,10
7,18841
8,100
9,22
10,1998
15,23
16,46
19,74
27,4
28,649
30,4
38,19
53,61
56,313
57,41
64,23
70,1622
73,19
82,2972
83,1346
86,7
92,479
93,1222
95,1450
96,21
98,34
101,31
102,89
117,10
121,57
122,13
124,107
129,5978
130,757
131,66
132,244771
134,541
135,171
138,285139
139,13
145,13234
146,12023
157,427
160,179
171,64
173,373
175,26
179,6785
180,96
191,69
192,92
193,4879
196,844
197,341
198,379
201,8
203,48
205,36
207,721
215,622
216,783
218,76
219,456
223,6961
226,17094
252,53
253,21
258,129
260,5807
