PULocationID,DOLocationID,Freq,jojo,koko
237,236,34120,Manhattan,Manhattan
237,237,30188,Manhattan,Manhattan
236,237,29444,Manhattan,Manhattan
236,236,27396,Manhattan,Manhattan
237,162,22367,Manhattan,Manhattan
186,161,19998,Manhattan,Manhattan
186,230,19788,Manhattan,Manhattan
237,161,19693,Manhattan,Manhattan
161,237,19495,Manhattan,Manhattan
230,186,19373,Manhattan,Manhattan
239,142,18249,Manhattan,Manhattan
48,48,18202,Manhattan,Manhattan
234,170,18133,Manhattan,Manhattan
239,238,17986,Manhattan,Manhattan
107,170,17831,Manhattan,Manhattan
161,161,17588,Manhattan,Manhattan
162,170,17388,Manhattan,Manhattan
161,164,17176,Manhattan,Manhattan
186,170,16983,Manhattan,Manhattan
142,239,16720,Manhattan,Manhattan
170,234,16248,Manhattan,Manhattan
161,234,16036,Manhattan,Manhattan
48,68,15979,Manhattan,Manhattan
100,161,15962,Manhattan,Manhattan
79,79,15698,Manhattan,Manhattan
164,161,15501,Manhattan,Manhattan
186,234,15344,Manhattan,Manhattan
170,161,15187,Manhattan,Manhattan
238,239,15112,Manhattan,Manhattan
161,170,14876,Manhattan,Manhattan
170,170,14665,Manhattan,Manhattan
48,161,14599,Manhattan,Manhattan
161,236,14591,Manhattan,Manhattan
161,230,14541,Manhattan,Manhattan
141,236,14534,Manhattan,Manhattan
237,141,14288,Manhattan,Manhattan
141,237,14124,Manhattan,Manhattan
236,162,14027,Manhattan,Manhattan
138,230,13991,Queens,Manhattan
161,186,13960,Manhattan,Manhattan
100,230,13894,Manhattan,Manhattan
170,107,13558,Manhattan,Manhattan
234,186,13448,Manhattan,Manhattan
161,163,13359,Manhattan,Manhattan
162,162,13243,Manhattan,Manhattan
239,239,13142,Manhattan,Manhattan
230,161,13105,Manhattan,Manhattan
263,141,13024,Manhattan,Manhattan
263,236,12995,Manhattan,Manhattan
79,107,12860,Manhattan,Manhattan
