manhattan,freq
4,22542
12,4430
13,90510
24,27693
41,31015
42,12995
43,137604
45,22617
48,299714
50,97759
68,233098
74,31774
75,60713
79,273438
87,76895
88,39165
90,184135
100,199742
103,0
104,0
105,17
107,230287
113,162545
114,137231
116,9714
120,38
125,57139
127,784
128,60
137,116718
140,161300
141,218320
142,298020
143,106156
144,107407
148,142452
151,81511
152,8414
153,83
158,109242
161,375224
162,334193
163,266206
164,234881
166,48425
170,309909
186,341907
194,573
202,475
209,19814
211,80402
224,25219
229,179400
230,325447
231,176020
232,18019
233,125245
234,318236
236,360804
237,404599
238,181300
239,243871
243,1694
244,8170
246,138463
249,199834
261,59954
262,115317
263,169353
